ALMEMO;BEREICH:;;L840;L840;D2.6;D2.6
5690-2;KOMMENTAR:;;;;;
SD3.12;GW-MAX:;;;;;
BLAS180E.001;GW-MIN:;;;;;
DATUM:;ZEIT:;;M01: ms;M02: ms;M11: Pa;M12: Pa
04.08.2023;14:38:50;;12,7;10,1;92,2;53,1
;14:38:51;;13,3;10,2;97,5;36,1
;14:38:52;;12,8;10,1;87,7;69,2
;14:38:53;;12,6;9,6;90,2;69,4
;14:38:54;;12,7;9,1;99,5;58,6
;14:38:55;;12,6;10,6;99,2;22,6
;14:38:56;;12,9;10,2;95,2;43,4
;14:38:57;;12,6;8,9;95,9;55,3
;14:38:58;;12,9;10,1;96,6;48,6
;14:38:59;;12,8;8,8;108,5;64,2
;14:39:00;;13,1;7,3;94,5;78,7
;14:39:01;;12,6;9,2;96,8;71,2
;14:39:02;;13,1;6,9;96,7;55,2
;14:39:03;;13,2;8,1;98,8;69,1
;14:39:04;;12,6;9,9;98,7;57,2
;14:39:05;;13,2;10,8;100,7;22,5
;14:39:06;;13;8,7;97,7;64
;14:39:07;;12,7;10,1;90,3;67
;14:39:08;;12,9;8,5;97,1;33
;14:39:09;;12,5;8,2;91,5;55
;14:39:10;;12,3;8,4;96,6;51,3
;14:39:11;;12,5;9,7;93,4;59,7
;14:39:12;;12,7;9,4;95,7;57,3
;14:39:13;;12,7;9,5;94,8;31,3
;14:39:14;;12,9;8,9;99,2;63,2
;14:39:15;;12,6;11,1;97;41,5
;14:39:16;;12,8;9;100,4;52,2
;14:39:17;;13;7,3;101,7;50
;14:39:18;;13,1;11;89,4;40,6
;14:39:19;;12,3;9,6;98,6;38,9
;14:39:20;;13,2;7,6;90,9;41,6
;14:39:21;;12,7;10;104,8;17,1
;14:39:22;;12,6;9,5;100;43,7
;14:39:23;;13;11,4;86;70,9
;14:39:24;;12,5;10,3;101,6;36,2
;14:39:25;;12,4;11,2;97,5;64,3
;14:39:26;;13,3;9,4;92,8;34,3
;14:39:27;;13,1;8;100,3;46,5
;14:39:28;;12,7;9,4;90;42
;14:39:29;;12,3;8,4;96,8;82,9
;14:39:30;;13;9,6;99,3;31,5
;14:39:31;;12,9;10,6;99,7;46,5
;14:39:32;;12,9;7,3;91,5;39,1
;14:39:33;;12,8;10,2;101,9;49,1
;14:39:34;;12,6;11,4;100,5;40,2
;14:39:35;;13,3;10;109,1;40,3
;14:39:36;;12,8;9;99,8;36,2
;14:39:37;;12,9;4,5;84,2;58,1
;14:39:38;;13,2;9,8;92;54,6
;14:39:39;;12,5;10,5;98,8;57,5
;14:39:40;;12,8;9,5;91,1;38,7
;14:39:41;;12,9;9,6;100,6;44,4
;14:39:42;;13,1;6,1;95,8;62,3
;14:39:43;;12,7;10,6;103,1;38,7
;14:39:44;;12,8;8,8;98,4;46,4
;14:39:45;;12,4;8,5;101,8;54
;14:39:46;;12,5;8,8;95,8;42,8
;14:39:47;;12,8;8,2;101,8;76,4
;14:39:48;;12,5;9,9;97,4;34,3
;14:39:49;;12,7;10,9;98,8;34,1
;14:39:50;;12,5;7,8;101,4;58,6
;14:39:51;;13;10,5;94,7;63,4
;14:39:52;;13,3;9;98,4;54,4
;14:39:53;;12,6;7,2;96,6;62
;14:39:54;;13,2;9,6;94,6;33
;14:39:55;;13;8,9;95,3;28,4
;14:39:56;;12,8;9,9;93,3;48,8
;14:39:57;;12,8;7,9;100,4;28,8
;14:39:58;;13,1;6,2;95,3;64,8
;14:39:59;;13,1;7,9;96,7;51,1
;14:40:00;;13;8,2;101,9;42,7
;14:40:01;;12,9;10,7;92,2;33,2
;14:40:02;;12,7;9,3;95,6;40,2
;14:40:03;;12,5;7,8;96,9;40,7
;14:40:04;;13;7,6;96,2;63,4
;14:40:05;;12,6;9,2;93,7;34,8
;14:40:06;;13;7,9;97,5;69,5
;14:40:07;;12,7;11,2;91,5;34,4
;14:40:08;;13,1;9;97,2;27,9
;14:40:09;;13,3;9,8;101,5;42,4
;14:40:10;;13,1;9,6;100,6;39,4
;14:40:11;;13,1;7;93,9;60,6
;14:40:12;;13,2;7,3;97,5;51,7
;14:40:13;;12,9;7,7;93,3;45,5
;14:40:14;;12,8;10,7;100,3;37,2
;14:40:15;;12,7;9,5;98,3;80,4
;14:40:16;;12,9;10,3;100,3;25,1
;14:40:17;;13,2;11,4;98,6;62,6
;14:40:18;;13;9;98,9;52,3
;14:40:19;;12,2;11;95,8;53,8
;14:40:20;;13;11,7;102,5;62,1
;14:40:21;;12,9;6,4;93,3;66,1
;14:40:22;;12,7;11,3;97,4;52,8
;14:40:23;;12,7;9,4;94,5;47,2
;14:40:24;;12,7;8,8;96,7;46,8
;14:40:25;;12,7;8,4;88,6;44,8
;14:40:26;;12,6;11,3;100,4;71,8
;14:40:27;;13,3;10,1;94,3;61,7
;14:40:28;;12,7;9,8;99,4;45,6
;14:40:29;;12,8;10,2;99,6;57,4
;14:40:30;;12,8;9,5;94,7;41,9
;14:40:31;;12,4;9,9;101,8;48,6
;14:40:32;;12,7;7,3;100,9;77,1
;14:40:33;;12,9;7,5;90,1;28,8
;14:40:34;;12,6;9,1;98,6;68,4
;14:40:35;;13,1;8,7;95,4;61,7
;14:40:36;;12,7;11,5;102,2;62,7
;14:40:37;;12,7;8,8;98,8;67,1
;14:40:38;;13,1;9,2;99,3;88
;14:40:39;;13,1;9,5;96,2;78,9
;14:40:40;;12,9;8;85,8;63
;14:40:41;;13,2;10,5;102,8;40,8
;14:40:42;;12,3;10,5;106,2;51,4
;14:40:43;;12,2;11,2;92,2;63,9
;14:40:44;;12,7;7,7;91,9;58,5
;14:40:45;;12,5;9,3;101,6;19,8
;14:40:46;;12,4;10,1;91,3;59,2
;14:40:47;;12,8;10,4;102,2;24,7
;14:40:48;;12,6;10,2;94,7;52,2
;14:40:49;;12,5;8,1;94,7;48,3
;14:40:50;;12,6;9,4;100,6;37,3
;14:40:51;;13;9,6;95,1;57,3
;14:40:52;;13,4;10,2;108,9;38,3
;14:40:53;;12,8;8,7;103;44,8
;14:40:54;;12,4;11,3;101,8;53,4
;14:40:55;;12,6;7,6;96,4;61
;14:40:56;;13,2;10,2;94,9;57,5
;14:40:57;;12,5;10,3;95;37,6
;14:40:58;;13,2;9,2;95,6;36,6
;14:40:59;;12,7;9,4;100,9;44,3
;14:41:00;;12,8;8,6;90,8;76,8
;14:41:01;;13,3;9,7;94,5;48,2
;14:41:02;;12,6;8,1;94,3;53,3
;14:41:03;;12,7;9,2;97,6;49,7
;14:41:04;;12,8;9;98,9;52,6
;14:41:05;;12,5;9;94,7;51,1
;14:41:06;;12,7;10;93,6;40,9
;14:41:07;;12,7;10,1;96,4;33,1
;14:41:08;;13,2;8,6;103,2;35,3
;14:41:09;;12,6;9,5;102,2;54
;14:41:10;;12,9;8,6;95,6;66
;14:41:11;;12,8;10,6;98,2;47,9
;14:41:12;;13,4;9,8;97,2;38
;14:41:13;;12,8;10,8;99,6;39,6
;14:41:14;;12,9;8,1;89,4;64,5
;14:41:15;;12,7;6,7;97,7;49,5
;14:41:16;;13,1;10;95,3;78,7
;14:41:17;;12,2;7,1;95,2;52,1
;14:41:18;;12,5;8,4;89,7;88,5
;14:41:19;;13;10,3;102,8;50,6
;14:41:20;;12,8;10,8;101,9;60,7
;14:41:21;;13,4;8,6;92,5;61,7
;14:41:22;;13;8,1;94,5;35,7
;14:41:23;;12,3;8,6;105,3;15,7
;14:41:24;;12,8;8,8;100,7;54,3
;14:41:25;;12,7;9,7;90,5;65,7
;14:41:26;;12,7;9,7;97,6;29,7
;14:41:27;;12,9;8,2;99;49,2
;14:41:28;;12,7;10,6;90,4;34,3
;14:41:29;;12,7;9,2;90,3;44,9
;14:41:30;;12,5;8,5;96,2;63,2
;14:41:31;;12,6;10,4;98,2;21,4
;14:41:32;;12,8;9,6;92,5;52,6
;14:41:33;;12,9;8,4;93;51,4
;14:41:34;;12,9;9,6;95,8;52,1
;14:41:35;;12,9;8,1;93;71,8
;14:41:36;;12,6;11;93,9;70,9
;14:41:37;;12,7;9;100;63,9
;14:41:38;;12,7;8,5;99,5;34
;14:41:39;;12,8;10,2;100,9;63,2
;14:41:40;;13;7,5;101,3;56,6
;14:41:41;;13;8,6;104,1;48,9
