x1;y1;x2;y2
0,0;1129,0;1,0;1,0
0,5;1083,4;2,0;8,0
0,6;1079,7;3,0;27,0
1,0;935,4;4,0;64,0
1,0;1077,9;;
1,0;867,7;;
1,0;1155,4;;
1,0;794,1;;
1,1;1105,5;;
1,5;1111,9;;
1,7;1081,7;;
1,7;1128,2;;
1,7;1015,1;;
2,2;905,0;;
2,4;844,3;;
2,8;1095,5;;
3,1;1120,9;;
3,1;1112,8;;
3,4;1095,6;;
3,5;853,7;;
3,9;847,9;;
4,4;1105,2;;
4,7;993,3;;
4,9;752,4;;
4,9;1117,3;;
4,9;1116,0;;
5,2;1057,7;;
5,4;1017,4;;
5,8;775,0;;
5,8;975,4;;
6,3;1092,2;;
6,4;1093,2;;
7,4;1122,3;;
7,4;1147,6;;
7,5;1135,2;;
7,7;1070,3;;
7,8;744,4;;
7,9;700,8;;
9,2;874,9;;
9,2;1064,6;;
9,7;1124,7;;
10,3;937,6;;
10,3;928,9;;
10,4;734,7;;
10,5;1120,8;;
10,6;800,5;;
10,9;765,4;;
11,1;994,6;;
11,2;1105,8;;
11,8;1092,4;;
12,1;768,8;;
12,3;788,9;;
12,6;1088,2;;
13,1;1091,5;;
13,5;1087,9;;
14,5;1057,0;;
15,8;953,3;;
16,1;1071,1;;
16,3;1096,4;;
16,5;1117,0;;
17,3;1121,0;;
18,3;1101,6;;
18,6;672,2;;
18,7;665,3;;
19,0;993,6;;
20,1;742,0;;
20,1;689,3;;
20,1;783,2;;
20,1;853,8;;
20,8;1137,0;;
22,2;1054,4;;
22,7;738,9;;
22,9;692,1;;
23,5;1026,7;;
23,6;618,6;;
23,7;680,0;;
25,2;615,3;;
25,6;583,9;;
25,9;757,4;;
26,3;833,8;;
27,1;869,3;;
28,5;637,9;;
30,6;586,1;;
30,7;632,0;;
33,4;560,8;;
34,0;530,4;;
34,3;549,4;;
35,3;584,4;;
35,6;487,6;;
37,1;543,8;;
38,0;550,1;;
38,1;512,8;;
43,1;395,8;;
43,5;480,6;;
44,4;483,5;;
45,7;475,9;;
48,5;462,6;;
51,6;401,0;;
52,2;466,5;;
54,0;387,4;;
56,3;465,5;;
57,3;404,9;;
57,6;358,5;;
59,3;375,4;;
59,5;374,4;;
59,7;439,1;;
60,5;423,5;;
63,1;360,3;;
64,9;424,6;;
65,7;340,5;;
67,9;349,6;;
68,0;317,5;;
68,6;327,4;;
69,3;313,2;;
71,1;323,1;;
72,1;340,6;;
72,4;307,8;;
72,7;294,7;;
74,2;268,5;;
75,6;219,4;;
77,3;270,6;;
79,3;294,7;;
82,0;300,6;;
83,6;220,9;;
83,8;266,8;;
84,0;191,4;;
84,7;247,0;;
84,8;260,9;;
